metodo,imagem,pontos,extracao_ms
SIFT,I01,5000,332.3965137824416
SIFT,I02,5000,347.1128800883889
SIFT,I03,3627,270.97188821062446
SIFT,I04,3219,266.97317510843277
SIFT,I05,3491,275.7704542018473
SIFT,I06,4147,282.6192323118448
SIFT,I07,4460,285.58171913027763
SIFT,I08,1105,46.03436682373285
ORB,I01,5000,27.373879682272673
ORB,I02,5000,28.651920147240162
ORB,I03,5000,19.748536869883537
ORB,I04,5000,19.203863106667995
ORB,I05,5000,19.556979183107615
ORB,I06,5000,19.851697143167257
ORB,I07,5000,20.004226360470057
ORB,I08,4405,7.7783651649951935
