origem,destino,matches,inliers,taxa,erro_medio_px,erro_mediano_px,erro_p90_px,cobertura,aceito
I01,I02,116,32,0.2759,1.5548626437189426,1.5865985435044323,2.2394509405860346,0.050086059891823485,True
I01,I03,60,9,0.15,1.1352803176519894,1.6903004571093576,2.1883573512389694,0.10472461190768312,False
I01,I04,105,38,0.3619,0.6970918039649794,0.47929342413149084,1.475986393055073,0.007678508924861671,False
I01,I05,394,291,0.7386,1.5327684087019415,1.4572231690984385,2.5309930230085183,0.1993553565637849,True
I01,I06,58,6,0.1034,5.2294595434813393e-11,3.313852720136472e-11,1.1685033481220925e-10,0.14763239158631913,False
I01,I07,295,198,0.6712,1.0476269425517124,0.9370020163955413,1.992332328514505,0.10995195921767184,True
I01,I08,67,8,0.1194,1.276530683200199,1.4661007226570342,1.990963847941577,0.0811330253443926,False
I02,I03,45,8,0.1778,0.6977934570132546,0.6774181239774617,1.4437276917365336,0.06148077270946427,False
I02,I04,57,6,0.1053,0.5084866995579723,0.10302738387997193,1.3717686640683813,0.013565162556577222,False
I02,I05,51,6,0.1176,4.6601069725073254e-12,6.5357573256755175e-12,7.226942705216433e-12,0.030079544975350047,False
I02,I06,42,6,0.1429,1.4111743794164217e-12,1.2520213733841151e-12,2.343744499851794e-12,0.0313632434874191,False
I02,I07,52,6,0.1154,0.49814363990761223,0.26703561304427137,1.2249776171026387,0.0460290014393031,False
I02,I08,53,5,0.0943,1.7689983523390354,1.712937978637268,2.0942997948518336,0.0,False
I03,I04,967,746,0.7715,1.005039613558515,0.8955208883367726,1.9098461969492297,0.20250265371709927,True
I03,I05,118,22,0.1864,1.4855929092853999,1.526797072939692,2.5549927062708333,0.008422691708151736,False
I03,I06,735,533,0.7252,1.0241956058300372,0.8149296553026277,2.283839099545896,0.14036218516139384,True
I03,I07,70,8,0.1143,0.5617407553215761,0.5202002487515242,1.1736504722249579,0.038656733864940666,False
I03,I08,101,5,0.0495,0.0445243556406818,0.04221476827959211,0.06151440220202099,0.0,False
I04,I05,525,323,0.6152,1.2111059335131613,1.0929915759543751,2.252718289385719,0.20597814260541958,True
I04,I06,237,141,0.5949,0.8494404551927931,0.7709678341269676,1.5224869383840909,0.05512109886182588,True
I04,I07,187,85,0.4545,0.7579205895365507,0.606383466648338,1.4178812364627222,0.03545038073156514,True
I04,I08,121,11,0.0909,0.038228197744231744,0.02747466575255529,0.08551544495997902,0.0,False
I05,I06,126,10,0.0794,0.6265872825549162,0.5647995197096471,1.1658781937276337,0.06059630384563546,False
I05,I07,646,367,0.5681,1.3588037738003063,1.305316031735044,2.425929119700158,0.14557900943545926,True
I05,I08,238,102,0.4286,1.1501982424038382,0.9986806033673399,2.2499468303512336,0.0,False
I06,I07,100,8,0.08,1.2097814039454535,1.223234672048258,1.898618175123016,0.12563356370506032,False
I06,I08,109,9,0.0826,1.9331638902404467,2.319518772271936,2.8534769540546407,0.015483260303537527,False
I07,I08,164,29,0.1768,1.559174879141069,1.4758999665840111,1.8549325770517764,0.0,False
